name,developer,star,url,img_url,developer_url,type,recommend_ls,describe,comment_num,comment_get_num
灌籃高手 SLAM DUNK,DeNA HONG KONG LIMITED,3.9,https://play.google.com/store/apps/details?id=com.denachina.g23002013.android,https://lh3.googleusercontent.com/UnRa5qLPgkPUkJCl2m1p7V8C0Vv5x4hJlZNb_wUzOZlGRwdozqbAh4h8evnLejw8iSKV=s128-rw,https://play.google.com/store/apps/developer?id=DeNA+HONG+KONG+LIMITED,Sports,"['三國戰神記-群雄激鬥，熱血無雙', '全明星亂鬥', '蒼天英雄誌', '雀姬（日本麻雀）', '亂鬥英雄志-名將風雲錄']",灌籃高手！熱血不滅！稱霸全國！《灌籃高手SLAMDUNK》是一款真人實時籃球競技手遊，由DeNA發行，東映動畫授權並全程監制。遊戲以井上雄彥原作漫畫、東映動畫製作的同名動畫片《灌籃高手》改編而成，玩家可操控原作出場角色，習得技能，體驗原作動畫的經典劇情和各個高校球隊的強大實力，感受競技賽事帶來的熱血與感動。學生時代耳熟能詳的「哼哼防守」、「大猩猩灌籃」、「電光火石」每位球員的絕招將被一一還原，為每位球員打造一份專屬的技能清單。．東映正版授權！經典劇情完整還原！PVE玩法將為大家呈現出十多個經典的動畫劇情章節。親身體驗一回湘北籃球新人櫻木花道的成長史，重溫那個青春洋溢的夏天。．實時多人競技！多種玩法展現你的球技！除核心的3V3半場模式外，更有1V1鬥牛、2V2組隊、3V3全場、單人5V5全場等多種比賽模式。與落單的隊友一起匹配組隊，體驗團體競技的魅力。．全國排位賽開打！與好友稱霸全國！排位賽以3V3半場作為比賽模式，3分鐘一場，與好友團隊合作，展現自我技巧，與好友共同贏得勝利，挑戰全國好手，爭奪「全服第一」稱霸全國。．角色全收錄！台日原班聲優獻聲！東映動畫正版授權，灌籃高手動畫中角色全收錄。．天才籃球高手誕生！挑戰全國贏得冠軍！遊戲中還原櫻木花道、流川楓、仙道彰、牧紳一等經典角色的經典技能，運用你的籃球智慧，擊敗來自全國的挑戰者，贏得勝利，稱霸全國。．跨服競技榮耀戰區開打！3分鐘公平競賽！跨服匹配隨時開打，一鍵加好友功能，隨時隨地與好友開賽，挑戰榮耀戰區代表你的城市出戰，爭奪成為全國最強籃球員。,4478,2640
KartRider Rush+,NEXON Company,3.7,https://play.google.com/store/apps/details?id=com.nexon.kart,https://lh3.googleusercontent.com/UnRa5qLPgkPUkJCl2m1p7V8C0Vv5x4hJlZNb_wUzOZlGRwdozqbAh4h8evnLejw8iSKV=s128-rw,https://play.google.com/store/apps/dev?id=7175795338936881781,Racing,"['Darkness Rises', 'Godzilla Defense Force', 'MapleStory M - Open World MMORPG', 'Stardew Valley', 'Golf Star™']","The kart racing sensation enjoyed by over 300M players worldwide is back and better than ever with more style, more game modes, more thrill! Race with friends or just play it solo through a variety of gameplay modes. Collect and upgrade iconic characters and karts from the KartRider universe. Climb the leaderboard ranks and become the ultimate racing legend!A Heroic Tale Unfolds! The stories behind what drives the Racers are finally brought to light! Experience an immersive story mode unique to the KartRider franchise that introduces you to the various gameplay modes! Master the ModesWhether it’s chasing glory as a lone racer or rising to the top of the leaderboards as a team, it’s you who will decide your own path. Select from a variety of gameplay modes that will pave your way to victory.Speed Race: Earn licenses that unlock more challenging race tracks as you progress and rely on pure drifting skills to reach the finish lineArcade Mode: Choose from a selection of gameplay modes such as Item Race, Infini-Boost, or Lucci Runner that add an extra layer of fast-paced thrill to your racesRanked Mode: From Bronze to Living Legend, climb up the Racing Tiers and earn respect among your peers Story Mode: Join Dao and friends and help them stop the treacherous Pirate Captain Lodumani’s evil deedsTime Trial: Beat the clock and make your mark as the fastest racerDrift in StyleKart racing has never looked so good! Style your Racer in the latest outfits and accessories and go BOLD with a selection of stylish and iconic Karts. Adorn your ride with trendy decals and pets that will earn you prestige on the tracks.Become a Racing LegendTake the wheel and show your rivals what true speed is all about though competitive multiplayer matches in real-time. Leverage the drifting controls optimized for mobile, time your Nitro boosts to make for the perfect drift, and leave your opponents in the dust!Go Faster TogetherJoin forces with players from around the world and complete quests together as a Club. Show off your latest kart through your own private customizable Home or cool off from a hard-earned match with fun, quick mini-games.Race Tracks on Another LevelAccelerate to the finish line through over 45+ race tracks! Whether you’re taking a tour through the bustling traffic in London Nights, or enduring the biting chill of the ice in Shark’s Tomb, every track has their own distinctive traits that offer a different racing experience for players looking for a challenge.Follow Us:Official Site: https://kartrush.nexon.comFacebook: https://www.facebook.com/kartriderrushplusTwitter: https://twitter.com/KRRushPlusInstagram: https://www.instagram.com/kartriderrushplusInstagram (South East Asia): https://www.instagram.com/kartriderrushplus_seaTwitch: https://www.twitch.tv/kartriderrushplusNote: An internet connection is required to play this game.*For the best gaming experience, the following specs are recommended: AOS 4.4 or higher / Galaxy Note 3 or higher / Minimum 1GB RAM required*- Terms of Service: https://m.nexon.com/terms/304- Privacy Policy: https://m.nexon.com/terms/305 ■ Smartphone App Permissions[Smartphone App Permissions]We are requesting certain app permissions to provide the below services.[Optional App Permissions]Photo/Media/File: Saving images, uploading photos/videos.Phone: Collecting numbers for promotional texts.Camera: Taking photos or filming videos for uploading.Mic: Talking during the game.* Game can still be played if you do not grant these permissions.[How to Withdraw Permissions]▶ Android above 6.0: Settings > App > Select App > Permission List > Allow/Deny Permission▶ Android below 6.0: Upgrade the OS to deny permissions, or delete the app* The game may not initially offer individual permission settings; in this case, use the above method to adjust permissions.* This app offers in-app purchases. You can disable this feature by adjusting your device settings.",89223,5335
Exos Heroes,LINE Games,4.4,https://play.google.com/store/apps/details?id=com.linegames.exos,https://lh3.googleusercontent.com/UnRa5qLPgkPUkJCl2m1p7V8C0Vv5x4hJlZNb_wUzOZlGRwdozqbAh4h8evnLejw8iSKV=s128-rw,https://play.google.com/store/apps/dev?id=6262318312652386413,Role Playing,"['Royal Crown', 'First Summoner', 'Epic Seven', 'Romancing SaGa Re;univerSe', 'Aura Kingdom 2']","VISUALISM PLAY !The grand adventure to search for ‘Exestruk’, the missing sword of the emperor, and the curse of the ancient dragon!Experience the adventure of your lifetime.Experience the unique visualism beyond your imagination.Experience the unique, extraordinary RPG!VISUALISM PLAY ≪Exos Heroes≫[Game Description]The grand adventure to search for ‘Exestruk’, the missing sword of the emperor, and the curse of the ancient dragon!Face the evil forces threatening the peace of the Exos Continent!■ Ride on the ancient Airship awoken from a deep slumber to go an adventure!Welcome to the mystical fantasy land where Airships roam the sky.Become the Airship captain and feel the vast world!Join the ancient dragon Bitru and treasure hunter Zeon in this original RPGExperience this fascinating story unfold before your eyes.■ Walk and run! World-map with freedom!This world is full of exciting contents where you can explore the lost ruins and hunt for lost treasures.Experience the unique contents of Exos, the original RPG on mobile!■ Epic graphics! It’s not a cinematic video!Intense battles in a fairytale-like world!Thrilling skill actions! Experience the true fun of turn-based game through strategic battles!Illustrations of beautiful characters, and the fantasy world of magnificent landscapes.■ Enjoy a new type of RPG with battle system like no other!Take advantage of Guardian Stone system to ‘break’ the enemy, and add more fun to strategic battles!■ The quality of every single character in the game are as fine as the main character! Collect more heroes!Collect over 200 heroes with unique character designs, and enjoy the awesome play with powerful Fatecore!Fiery intense battles will bring satisfaction to both your eyes and heart!",63110,840
Recharge Please!,"Geisha Tokyo, Inc.",4.1,https://play.google.com/store/apps/details?id=com.charge.them.all,https://lh3.googleusercontent.com/efTl-jBXqhgY41rNjF1sp8-Ec9mSOQShB1hwDSSZwnPziWXibQhKt9N12dITdxVfX2Tr=s128-rw,"https://play.google.com/store/apps/developer?id=Geisha+Tokyo,+Inc.",Puzzle,"['Water Me Please! Water Game: Brain Teaser', 'Fuzzy Pet Health', 'Water Pipes Original', 'Back-Up Care', 'Cave Bowling']","Play with just one finger.Connect all the plugs to a matching socket. But, as in real life, it isn't as easy as it sounds!Puzzle game with one finger control. Easy to play, hard to master.",14063,133
阿卡迪亞,Barley Game,4.7,https://play.google.com/store/apps/details?id=com.barely.rpg.arkadia.zhtw,https://lh3.googleusercontent.com/efTl-jBXqhgY41rNjF1sp8-Ec9mSOQShB1hwDSSZwnPziWXibQhKt9N12dITdxVfX2Tr=s128-rw,https://play.google.com/store/apps/developer?id=Barley+Game,Role Playing,"['漢家江湖', '論如何建立一個修仙門派', 'Drake n Trap', '命運的反抗者', '校花的貼身高手-99分校花']","–––––––遊戲特點–––––––【開局就送五次十連抽：任選一組獲得】● 粉絲大回饋！註冊角色就送五次十連抽機會！您可任選一組獲得，抽到手軟！性格各異的小姐姐，已經在阿卡迪亞的世界等著你了呦！【日本原畫師親製：頂級立繪】● 日本超一線畫師為角色賦予新的靈魂，現已加入超過38張手繪原畫，快來下載遊戲讓神之子們在你的手機中留下最靚麗的身影。【玩法輕鬆簡單：掛機放置】● 每日工作、學習壓力巨大，來這裡放鬆一下，手指動動即可領取滿滿的掛機獎勵！只需躺著就可養成男神女神，SSR輕鬆入手！【內容豐富多樣：多人副本】● 多人組隊副本，體驗不一樣的掛機遊戲。更有試煉幻境、終焉之塔、神域挑戰等超多玩法，休閒中玩出精彩！【策略佈陣多線掛機：讓放置不再無趣】● 首創3×3方陣，搭配出無數策略玩法！引導屬於你麾下的神之子，打造屬於你的最強戰隊！【王牌聲優親情獻聲：喚醒你的聽覺神經】● 眾多S級日本聲優為角色傾情獻聲，總計超過38名！日本“光田康典工作室”原聲錄製遊戲BGM，觸動你的耳朵每一根神經！快來帶上耳機雙重享受吧！凱努特（CV：釘宮理惠）江小星（CV：小倉唯）索菲亞（CV:石原夏織）墨陵意（CV：梶裕貴）艾瑪（CV：佐倉綾音）奧菲莉亞（CV：鬼頭明裡）柳生櫻（CV：阿澄佳奈）玉織（CV：大地葉）–––––––世界觀–––––––千年前在鏡之大陸上覺醒了第一位神之子：倉頡。他創建了古帝國達沃爾恩和最早的文明。但就在古帝國最鼎盛的時期，倉頡突然失蹤，從此大陸紛爭四起。百年間不斷的戰爭促使大量普通人在瀕死之際覺醒為神之子。其中，最強大且最不可控的神格，被人們稱為“黑死病”。她擁有著雕零壹切生靈的力量。而戰爭也變為了最強神之子之間的較量。最終兩位天生覺醒的神之子與壹位凡人聯手擊退了“黑死病”，戰爭從此進入了尾聲。如今大陸逐漸穩定為三個國家：哲羅公國、刀鋒帝國和大洋聯邦，而神之子們則成為了各國爭奪的重要資源。這些神之子們在繼承神之力的同時，依然保有並非完美的人性，他們有的選擇了承擔責任，有的選擇了順應自我的欲望。但無論選擇如何，他們都比凡人擁有更多的可能性……–––––––聯繫我們–––––––《阿卡迪亞》客服信箱：gmarkadia@barleygame.com.tw 《阿卡迪亞》FB粉絲團：http://bit.ly/2W4c2gC如果您有任何疑問可隨時聯繫我們。●使用封測時賬號登入正式上市遊戲，即可領取""封測儲值返利""。※本遊戲內容涉及性(穿著凸顯性特徵之服飾或裝扮但不涉及性暗示)和暴力(有打鬥、攻擊等未達血腥之畫面)以及戀愛交友（遊戲設計促使使用者虛擬戀愛或結婚），依遊戲軟體   分級管理辦 法分類為輔12級。※本遊戲為免費遊戲，但遊戲內另提供購買虛擬遊戲幣、物品等付費服務，請依個人興趣及能力進行適度消費。※請注意遊戲時間，避免沉迷，長時間進行遊戲，容易影響作息，宜適度休息及運動。",4856,2820
夢境元素使-讓世界重歸光明,FIFUN,4.4,https://play.google.com/store/apps/details?id=com.game.qyzh.an,https://lh3.googleusercontent.com/efTl-jBXqhgY41rNjF1sp8-Ec9mSOQShB1hwDSSZwnPziWXibQhKt9N12dITdxVfX2Tr=s128-rw,https://play.google.com/store/apps/developer?id=FIFUN,Role Playing,"['作妖计：全球最火爆卡牌RPG', '楞嚴咒(唱誦)', '問劍蒼穹', '暗黑起源', '蒼穹劍訣 - 經典放置休閒仙俠策略即時戰鬥RPG掛機手遊']",【夢境元素使】於5月21日10:00正式上線，自動掛機戰鬥的冒險之旅從此刻開始，這個未知的世界，正期待著你來揭開他的真面目.===============融為灰燼的邪惡巨龍，仍在不斷地侵蝕著美好夢境中的女神之地。惡靈少女.莉莉安，趁機喚醒強大的邪惡元素靈，並試圖毀滅這片美好夢境！千鈞一髮之際，祈告少女.櫻乃用盡所有法力，向時空裂縫中的勇者們發出了求救信號。為了人類不被噩夢吞噬，為了美好夢境的和平，為了艾尼亞大陸的寧靜，請各位受到召喚的勇者們打開法陣，與你們的元素使一起來拯救美好的艾尼亞大陸，讓世界重歸光明吧！【遊戲特色】1.卡哇伊的美術風格遊戲採用了可愛的Q版日系風格，從戰鬥背景到絢麗的人物技能，無一不充滿著濃郁的日式卡通風格！2.均衡的屬性克制每個元素使都有自己的獨特屬性，不同屬性的陣容搭配將會產生有趣的化學反應。記得，千萬不要加入暗黑系！3.解放雙手的放置戰鬥就算你不在夢境時，激萌的元素使也會認真的對抗邪惡勢力。資源產出不會停，離線也能獲得豐厚獎勵！4.歐氣爆棚 十連必出五星元素使不管是開服好康還是平時隨手來抽，十連必出五星，保底到世界的盡頭，拒絕非酋，全民歐皇！5.休閒咖啡館掛機累了來咖啡館逛逛吧，不止有女僕點餐，還有蘿莉同桌送你鑽石、召喚券、甚至許願幣哦，不氪也能賺十連啦！※本遊戲軟體分級管理辦法分類為：輔12級※本遊戲內含輕度暴力，性（角色穿著凸顯胸、臀之服飾）※本遊戲為免費使用，遊戲內另提供購買虛擬遊戲幣、物品等付費服務※長時間進行遊戲，容易影響正常作息，宜適度休息及運動歡迎與我們聯繫，為您解決遊戲中遇到的任何問題,7355,2224
逆襲吧英雄：我就戰,Gameboss(HK) Digital Entertainment,4.2,https://play.google.com/store/apps/details?id=com.gamebosshk.google2.coh,https://lh3.googleusercontent.com/C_omjpOpVe7zyePyiAiSV5hCeJsY0ixwbkT_NMQVBZrUgetMNEdSGKtjipwau-rSLQ=s128-rw,https://play.google.com/store/apps/developer?id=Gameboss%28HK%29+Digital+Entertainment,Strategy,"['戰棋天下 - 春秋七雄之霸業王者', '守護那桃園-三國單機塔防', 'EZPZ Saga——Chilled IDLE Fantasy', '少年趙子龍-三國放置卡牌策略手游']",《逆襲吧英雄》是一款Q版風格的動作類卡牌類手機遊戲。遊戲背景以三國KUSO題材為主軸，玩家們在旅途中將一路網羅三國武將，進行一段療癒人心卻又緊張刺激的笑鬧冒險。-	經典形象、Q版英雄熟悉的三國武將全面化身Q版英雄，給你全新遊戲體驗！每位武將在覺醒後還會出現覺醒技能，與天賦技能可能會讓武將的發展有完全不同的走向，要以控場為主掌握全局，還是成為一夫當關、萬夫莫敵的超級坦克？-	地圖推進、即時戰鬥別以為在戰鬥前佈陣完畢，戰局就會按照計畫進行！戰場中隨時有可能從後排突入敵軍，即時操作每位武將移動，閃招、圍毆、放大招，單手逆轉戰局！-	大圖國戰、運籌帷幄除遊戲本身推進關卡的玩法以外，另有特色地圖國戰，需要您的運籌帷幄，有效分配隊伍戰力，是以爆發力強行佔領敵方城池，還是以強效續戰力的隊伍持續打擊對方進行消耗戰？相信聰明的你可以根據戰局變化隨時調整戰略搭配！-	戰術隊伍、鬥智鬥力武將分為坦克、戰士、射手、刺客、法師等類型，隊伍組成考驗你的戰略力！是以純戰士與坦克進行搭配的物理隊、刺客與法師組成的爆發隊、還是加入補師成為平均全能型的隊伍，由你決定！-	封魔幻象、高額懸賞封魔台的強力世界BOSS只有合眾人之力才能擊殺，高額獎勵等你來領！本軟體依中華民國遊戲軟體分級管理辦法分類為：輔12+級本遊戲為免費使用，遊戲內另提供購買虛擬遊戲幣、物品購買等付費服務。本遊戲內容涉及暴力(有攻擊、搏鬥...等畫面)、部份角色穿著凸顯性特徵之服飾。請注意遊戲時間，避免沉迷。,189,69
官場風雲-王的逆襲之路,Game of yd,4.7,https://play.google.com/store/apps/details?id=com.gcgc.fy,https://lh3.googleusercontent.com/C_omjpOpVe7zyePyiAiSV5hCeJsY0ixwbkT_NMQVBZrUgetMNEdSGKtjipwau-rSLQ=s128-rw,https://play.google.com/store/apps/developer?id=Game+of+yd,Casual,"['蒼穹劍訣 - 經典放置休閒仙俠策略即時戰鬥RPG掛機手遊', '戰棋天下 - 春秋七雄之霸業王者', '三國大宗師-策略卡牌RPG', '修仙了不起', '漢家江湖']",《官場風雲》手遊是壹款模擬經營養成，官途宮鬥手機遊戲，官場如戲，處處機關，步步為營，弱肉強食，只要妳願意，即可大權獨攬，坐享天下美人 ！【高品質官途畫風】精緻畫風，還原古代宮廷環境，府上場景自由切換；【個性才女隨你挑】江山如畫，美女佳人任你挑選，子嗣聯姻擴張家族勢力；【文人墨客畫藍圖】四方豪傑，門下做客，會人會語，共謀天下；【南征北戰升豪爵】征戰天下，拜將封侯，官至極品；【合理經營得民心】合理經營，響應民心，百萬雄獅助您掌握大權；【聯盟盟戰拼兄弟】全新聯盟戰，兄弟齊聚，攻城略地。,115,81
DOP: Draw One Part,SayGames,4.1,https://play.google.com/store/apps/details?id=com.playstrom.drawonepart,https://lh3.googleusercontent.com/C_omjpOpVe7zyePyiAiSV5hCeJsY0ixwbkT_NMQVBZrUgetMNEdSGKtjipwau-rSLQ=s128-rw,https://play.google.com/store/apps/developer?id=SayGames,Puzzle,"['Emoji Link - Line Puzzle', 'The Mystic Puzzland - Griddlers & Nonogram Puzzles', 'PolyLines 3D - spatial puzzle', 'Interference - the drawing game', 'Sudoku! - Tap to play']","DOP: Draw One Part- fun and tricky game, which refresh your mind and put a smile on your face!It will make you feel both like genius and talented artist.Take you'r time to think the puzzle over, then draw the solution. Vast range of riddles to draw: from common daily things to famous cultural reference.Features:- Unique gameplay brings you a cunning combination of logical puzzles and drawing.- Fun and education for all ages- expand your general outlook with different riddles.- Smooth and addictive gameplay- Your finger is the pencil- draw the solution- Unexpected and humorous pictures will make your day!- Sketchy-looking game style will push you imagination and creativityChallenge your attentiveness and develop drawing skills now!",35405,138
冒險聯盟,Eskyfun Entertainment Network Limited,4.3,https://play.google.com/store/apps/details?id=com.eskyfun.mxlmgp,https://lh3.googleusercontent.com/KgFMMwT0Z9AeVT-Rmrt9-xfeFbRF1C40399OcYrCudS5dxk3tDVqQFumtSdHsrKhjvo=s128-rw,https://play.google.com/store/apps/dev?id=7142918837293368535,Role Playing,"['三國殺名將傳', '長生繪夢', '漢家江湖', '諸神學院Smash', '吞食天地Ｍ']",「奇妙冒險大世界MMORPG《冒險聯盟》回來啦！」「療癒的童話清新橫版幻想風格，結合清新有氧橫版場景！」「Q萌系巨寵聖靈結伴同行，守護你的奇妙冒險之旅！」「坐上開往未知的列車，追逐與眾不同的夢境，勇敢去冒險吧！」====遊戲特色====【橫版冒險 歡樂組團】匠心巨作高清遊戲畫面，Q萌幻想風的橫版冒險風格，都講帶給你無與倫比的視覺感官享受！分享不同職業的默契配合、高自由度探險、組團輸出，挑戰領主，多式副本和趣味活動中加深彼此情誼。【時尚炫裝 可愛萌發】兔耳、清新風、蘿莉塔、青春校園，遊戲中全身各部位外觀隨心自由穿搭！更有獨家坐騎時裝寵物-萌胖柴犬。冒險前換上新的風格，帶著胖胖萌寵去浪漫冒險！現在開始，萌愛出發！【家族社交 暖情社群】聊天、吐槽、即時語音，少年，撩妹分分鐘！一人刷副本，眾人陪互動，志氣相投，爽快翻倍，樂趣無窮！暖情社交，享受這一刻的輕鬆體驗!【全服一起打領主，熱血廝殺大亂鬥】兄弟，加入我的家族！擊殺領主，拿好康，靠的就是我兄弟！動我兄弟者必誅之！我們的終極目標是成為最強家族，橫掃千軍，稱霸泰爾，共闖冒險之旅！【清新有氧，免費保送至VIP12】擺脫儲值獲得VIP的傳統，轉變成以任務為主的方式免費獲得VIP！豐富的VIP特權，為玩家的冒險之旅提供快速的成長；價值不菲的VIP升級獎勵，助玩家戰力飛升。【好康暴多，讓你暢快不停】每日登入驚喜連連，8天登入送超萌藍鯨家族紅包、拍賣分紅、泰爾寶藏、神秘NPC彩蛋，海量彩貝珍珠免費拿！【溫馨提示】*本軟體因涉及暴力、戀愛交友 、性（遊戲角色穿著凸顯性特徵之服飾），依遊戲軟體分級管理辦法分類為輔12級。*本遊戲為免費使用，遊戲內另提供購買虛擬遊戲幣、物品等付費服務。*長時間進行遊戲，請注意使用時間，避免沉迷於遊戲,22915,4988
