name,developer,star,url,img_url,developer_url,type,recommend_ls,describe,comment_num,comment_get_num
Minecraft,Mojang,4.5,https://play.google.com/store/apps/details?id=com.mojang.minecraftpe,https://lh3.googleusercontent.com/VSwHQjcAttxsLE47RuS4PqpC4LT7lCoSjE7Hx5AW_yCxtDvcnsHHvm5CTuL5BPN-uRTP=s128-rw,https://play.google.com/store/apps/developer?id=Mojang,Arcade,"['Minecraft Earth', 'MOD-MASTER for Minecraft PE (Pocket Edition) Free', 'RealmCraft with Skins Export to Minecraft', 'Exploration Lite Craft', 'PickCrafter - Idle Craft Game']","Explore infinite worlds and build everything from the simplest of homes to the grandest of castles. Play in creative mode with unlimited resources or mine deep into the world in survival mode, crafting weapons and armor to fend off dangerous mobs. Create, explore and survive alone or with friends on mobile devices or Windows 10.EXPAND YOUR GAME:Marketplace - Discover the latest community creations in the marketplace! Get unique maps, skins, and texture packs from your favorite creators. Slash commands - Tweak how the game plays: you can give items away, summon mobs, change the time of day, and more. Add-Ons - Customize your experience even further with free Add-Ons! If you're more tech-inclined, you can modify data-driven behaviors in the game to create new resource packs.MULTIPLAYERRealms - Play with up to 10 friends cross-platform, anytime, anywhere on Realms, your own private server that we host for you. Try a free 30-day trial in-app.Multiplayer - Play with up to 4 friends with a free Xbox Live account online.Servers - Join free massive multiplayer servers and play with thousands of others! Discover gigantic community-run worlds, compete in unique mini-games and socialize in lobbies full of new friends!SUPPORT: https:///www.minecraft.net/helpLEARN MORE: https:///www.minecraft.net/",3297065,9327
Dungeon Maker,GameCoaster,4.5,https://play.google.com/store/apps/details?id=com.GameCoaster.DungeonMaker,https://lh3.googleusercontent.com/VSwHQjcAttxsLE47RuS4PqpC4LT7lCoSjE7Hx5AW_yCxtDvcnsHHvm5CTuL5BPN-uRTP=s128-rw,https://play.google.com/store/apps/dev?id=6054355236747479153,Strategy,"['Dungeon Defense', 'Dungeon Princess : Infinity', 'Dungeon Princess', 'WitchSpring4', 'Rogue Hearts']","- Best Indie in Google Play Best of 2018! (Japan, Korea, Thailand)- Selected as one of Top 10 games in Google Indie Game Festival 2018! (Korea)Prepare for battle - a mob of heroes is about to invade your territory!Build traps facilities in your dungeon, hire monsters, discover relics with mysterious power, and protect your dungeon from heroes that came to take you down.◆ CONTENTS- 10 Dark Lords with special skills!- 260+ monsters and heroes- 160+ traps and facilities for your dungeon- 240+ relics with mysterious power- Various EVENTS filled with surprises- Various elements that can be unlocked throughout gameplay- and more…!We are planning to add more Dark Lords, traps, monsters, and more game modes!◆ CREATE YOUR OWN DUNGEONThink carefully when placing traps, facilities, and monsters into your dungeon. Strong strategy will help you survive the swarm of heroes and allow you to unlock more elements for your dungeon. May your dungeon endure the bravest heroes there are!◆ EXPLORE YOUR FATEChoose your fate from a selection of fate cards every day. If you wish to battle, heroes will come, and if you wish for surprises, a special event will take place.Choose the fate you want as the master of your dungeon.※ Note: THIS GAME IS COMPLETELY OFFLINE!As Dungeon Maker does not have a server, all of its data is stored on the user's device only. If you delete the app, you may not be able to recover your gameplay data. Please save your progress using the cloud storage option within the game.You can request a refund using Google's refund button within 2 hours from purchasing the app.However, you will not be able to get a refund after 2 hours.In-app billing is an offline game that can not be redeemed and suspended, so the developer can not process refunds. Only refunds through Google is possible.If you want to get a refund due to change of mind, please ask for a refund in the address below.https://support.google.com/googleplay/contact/play_request_refund_apps?rd=1",43283,1560
Raid Manager,Next Phase,4.3,https://play.google.com/store/apps/details?id=com.NextPhase.RaidManager,https://lh3.googleusercontent.com/VSwHQjcAttxsLE47RuS4PqpC4LT7lCoSjE7Hx5AW_yCxtDvcnsHHvm5CTuL5BPN-uRTP=s128-rw,https://play.google.com/store/apps/developer?id=Next+Phase,Role Playing,"['Auto Heroes', 'Dicast: Rules of Chaos', 'Knight Eternal: Pixel RPG', '던전 앤 이블 : 핵앤슬래시 액션 RPG(신서버 오픈)', 'Rogue Hearts']","※ You can play without an internet connection.* Games automatically saved on the device will be deleted when the game is deleted.† Healer Action RPGRaid Manager is a 3D real-time Hack and Healing RPG.Play the role of a Healer and Raid leader with a Tank and three damage dealers to explore unique dungeons wrapped in a darkness.† New control system that 'Never been before'.There is a new control system built in the game.This new control system gives you the similar experience as actually casting a spell and is optimized for screen touch devices.† New experiences and huge sense of accomplishmentAs a healer and raid leader, heal and strengthen your raid members.When you succeed in dungeons that seemed impossible,It's a sense of accomplishment and joy that's a different level of experience than when attacking an enemy directly as a attacker.† Hero Collection & Countless ItemsIt offers a new way to collect fellow heroes and items and acquire in-game goods such as gold.† Smart AI Raid MembersRaid members move based on smart AI and understand the tactics needed for each Raid.You can heal and revive your raid members. Even for Free!The authority to decide whether they live or die is given only to you, so they are absolutely loyal to you.Observing them will also bring new pleasures.† This is a Real Dungeon RaidAs soon as raid enter the combat, the chaos screen will unleash.However, raid members will be moving according to their optimized tactics, so if you focus on healing them to be able to perform their tactics successfully, the 'Great Completion' is yours.",2808,13
Peppa Pig: Sports Day,Entertainment One,4.0,https://play.google.com/store/apps/details?id=com.peppapig.sportsday,https://lh3.googleusercontent.com/P38cMycZXuropQBdxHJzw7eyKdUuO9X-zcxYhyenx9UPFNsxIUdCzrlSeOUXxhqMXak=s128-rw,https://play.google.com/store/apps/dev?id=5920339924959681787,Educational,"['PJ Masks: Racing Heroes', 'World of Peppa Pig – Kids Learning Games & Videos', 'Peppa Pig: Party Time', 'Peppa Pig: Holiday', 'Peppa Pig: Theme Park']","#1 Kids app in the app store July and August 2016!No adverts or in-app purchases - just lots of fun with Peppa!Join Peppa as she competes in Sports Day in this official app!Peppa and her friends are taking part in Sports Day and they want you to join them! Fans of the TV show will love this sports day-inspired app, which encourages pre-schoolers to explore fun filled games with their favourite little piggy.5 x fun-filled games featuring Peppa, George and their family and friends:• Bicycle Race• Obstacle Course• Tug of War• Long Jump• Ice Cream MakerPlus special Sports Day features, such as:• Rosette Maker• Earn Sticker Rewards",2067,4
NBA 2K20,"2K, Inc.",4.0,https://play.google.com/store/apps/details?id=com.t2ksports.nba2k20and,https://lh3.googleusercontent.com/P38cMycZXuropQBdxHJzw7eyKdUuO9X-zcxYhyenx9UPFNsxIUdCzrlSeOUXxhqMXak=s128-rw,https://play.google.com/store/apps/dev?id=6681606924556273560,Sports,"['MyNBA2K20', 'NBA 2K Mobile Basketball', 'MyNBA2K20', 'NBA 2K Mobile Basketball', 'NBA NOW Mobile Basketball Game']","Take classic 2K action on the go with NBA 2K20 for mobile, featuring 5 new NBA Stories, a new MyCAREER storyline, and an all-new Run The Streets mode! From 5-on-5 basketball with current or all-time great NBA teams to streetball in Blacktop, NBA 2K20 is filled with a variety of game modes for all players.Features:ALL NEW RUN THE STREETS MODE For the first time in any NBA 2K game, take your MyPLAYER around the world in a series of 3-on-3 streetball competitions. Get on a hot streak and takeover the game with greatly improved abilities and attributes. Compete against other players for a place on the Ranked Leaderboard or see how far you can go through the Championship.NBA STORIES RETURNS Experience the history of some of the most famous NBA players and teams with 5 new NBA Stories to play through.NEW MyCAREER STORYBuild your MyPLAYER and go on your journey from college to the NBA. Will you have what it takes to earn your place among the NBA all-time greats?THE ASSOCIATIONTake control of a team as the GM. Manage the roster, scout and draft the incoming rookie class, handle the budget, and more! MULTIPLAYERFinding opponents is easier and faster than ever before with a new Quick Match feature. Connect with other players through LAN or Google Play Games to play 5-on-5 matches or Blacktop games. NEW 2K BEATS SOUNDTRACKA new soundtrack accompanies you on your journey to the top of the NBA, featuring songs from Drake, Diplo, T-Pain, and more!",25231,377
論如何建立一個修仙門派,Hydrozoa Works,3.8,https://play.google.com/store/apps/details?id=com.HydrozoaWorks.buildaclan,https://lh3.googleusercontent.com/P38cMycZXuropQBdxHJzw7eyKdUuO9X-zcxYhyenx9UPFNsxIUdCzrlSeOUXxhqMXak=s128-rw,https://play.google.com/store/apps/developer?id=Hydrozoa+Works,Simulation,"['漢家江湖', '打工英雄傳', '修真江湖：凡人修仙', '道友掛機嗎', '某某宗女修修煉手札']",表面上，這是一個小黑屋類的放置宗門建設遊戲，玩家要做的就是安排宗門的各種資源進行生產和建設。實際上，在你辛辛苦苦的養活整個宗門裏所有人的時候，門內弟子們每個都覺得自己才是修仙小言的主角，於是動不動你就能看到各種愛而不得黑化墮魔啦，師徒戀爆發醜聞雙生心魔無法突破啦，x峰峰主偷偷把在外遊歷的貌美弟子拖到小黑屋裏偽造失蹤啦……而你，只能微笑著作為掌門替他們擦了屁股然後繼續辛辛苦苦的養活他們所有人……是的，這個遊戲，就是一個濃縮了一百本修仙小言精華的狗血生成器。,182,92
Pirates Outlaws,Fabled Game,4.6,https://play.google.com/store/apps/details?id=com.piratesoutlaws.fabledgame,https://lh3.googleusercontent.com/4TpNzVLijEcQz5gM_cJeL3CxDI1h7W5ZRMiqKay9yRlCCM5ER4FCxKnXC5TxKVyn0lRM=s128-rw,https://play.google.com/store/apps/developer?id=Fabled+Game,Card,"['Traitors Empire Card RPG', 'Rogue Adventure: Card Battles & Deck Building RPG', 'Unknown Knights', 'Meteorfall: Journeys', 'Dungeon Tales : An RPG Deck Building Card Game']","Play cards, build your deck to get the best combos! In Pirates Outlaws pick a character with a pre-made deck. Explore and manage your expedition to get more gold and reputation. Manage your deck and ammo to defeat enemies’ strategy, in a turn based combat system. The path to become a wealthy and respected Pirate will not be easy![Eastern Seas]A new sea to explore and completeIntroducing 26 new enemiesContaining 10 unique Bosses to defeat58 Cards and 17 Relics to collectDiscover more about Eastern Seas through new Events10 new skins to unlockExtra achievements and challenges[Navigate]BATTLE: 100+ outlaws and defeat 50+ unique bosses in a turn per turn card combat system.BUILD YOUR DECK: Play your cards and manage your Ammo for the best combo. Build a strategy around 14 playable characters with a pre-made deck and unique ability.COLLECT CARDS AND RELICS: More than 510 Cards to collect and 150 Relics to discover from 6 varied chapters.SAIL FROM ISLE TO ISLE: on a procedural generated map and choose your path among battles, events, market and tavern.EXPLORE: 6 unique seas and chapters with their own difficulty and secret.[Arena]BATTLE: New Champions to defeat in a new game mode.EXPLORE: All 6 chapters' cards, relics and enemies gathered in a single arena and a new way to loot and progress after each battle.COLLECT: New skins to collect for each character.CHALLENGE: More challenge with New Trophies to complete.Email: support@fabledgame.comFacebook: https://www.facebook.com/piratesoutlawsTwitter: https://twitter.com/FabledGameDiscord: https://discord.gg/5gxKmQzLanguages: English, Chinese, Traditional Chinese, French, Korean, Spanish, Japanese, Russian, German",11029,341
Hitman Sniper,SQUARE ENIX Ltd,4.5,https://play.google.com/store/apps/details?id=com.squareenixmontreal.hitmansniperandroid,https://lh3.googleusercontent.com/4TpNzVLijEcQz5gM_cJeL3CxDI1h7W5ZRMiqKay9yRlCCM5ER4FCxKnXC5TxKVyn0lRM=s128-rw,https://play.google.com/store/apps/dev?id=4949621155772591939,Action,"['LONEWOLF (17+) - a Sniper Story', 'Kill Shot', 'Sniper Master : City Hunter', 'CONTRACT KILLER: SNIPER', ""Assassin's Creed Identity""]","5/5 - ""Now that it’s here, I can’t stop playing it, which is remarkable for a title that is much more concerned with showcasing how much you can do within certain constraints instead of reveling in any kind of excess."" - GamezeboStep into the shoes of Agent 47 in Hitman Sniper and play the best sniper shooting game on mobile.PLAY A TACTICAL SNIPER MISSION GAMEStrike with strategic shooting skills, fulfilling your duty to orchestrate the perfect assassination kill shot.BATTLE ZOMBIES IN DEATH VALLEYCall on non-stop shooting action as a zombie hunter, in a true battle of your skills and speed of execution.150+ MISSIONS & 10 DIFFERENT CONTRACTSImprove your strike skills on mobile for the perfect assassination as you uncover secrets and subterfuges in this fun game.MOST BEAUTIFUL SNIPER GAME Awesome and smooth graphics that make for addictive gameplay on top of a thrilling story.PLAY WITH 16 UNIQUE GUNSEliminate targets, collect weapon parts and complete blueprints to unlock the most powerful guns.COMPETE AGAINST YOUR FRIENDS FOR THE FIRST PLACE IN THE LEADERBOARDSBoost your score and climb up the contract killer ranks classic with classic creative hitman kills to become the world's finest silent assassin.",803903,2376
Mini Metro,Dinosaur Polo Club,4.5,https://play.google.com/store/apps/details?id=nz.co.codepoint.minimetro,https://lh3.googleusercontent.com/4TpNzVLijEcQz5gM_cJeL3CxDI1h7W5ZRMiqKay9yRlCCM5ER4FCxKnXC5TxKVyn0lRM=s128-rw,https://play.google.com/store/apps/developer?id=Dinosaur+Polo+Club,Simulation,"['Monument Valley 2', 'OneBit Adventure', 'Rullo', 'Monument Valley', 'Great Alchemy']","Mini Metro, the sublime subway simulator, now on Android. No ads or in-app purchases.• BAFTA-nominated• IGF award-winning• IGN Mobile Game of the Year nominee• Included in Gamespot's Best Mobile Games of 2016Mini Metro is a game about designing a subway map for a growing city. Draw lines between stations and start your trains running. As new stations open, redraw your lines to keep them efficient. Decide where to use your limited resources. How long can you keep the city moving?• Random city growth means each game is unique.• Twenty real-world cities will test your planning skills.• A variety of upgrades so you can tailor your network.• Normal mode for quick scored games, Endless to relax, or Extreme for the ultimate challenge.• Build your metro exactly how you want to with the all-new Creative mode.• Compete against the world every day in the Daily Challenge.• Colorblind and night modes.• Responsive soundtrack created by your metro system, engineered by Disasterpeace.""If you love city-planning ... but can't handle the pressure of playing god, then you may have just found your new favorite time-waster.""  Ashley Feinberg, Gizmodo""Take my word for it that a game about mass-transit system design can be a tense, white-knuckle thriller"" - Owen Faraday, Pocket TacticsPlease note that Mini Metro is incompatible with some Bluetooth headphones. If you do not hear audio, please try disconnecting your headphones and restarting the game.",40033,404
PokeAquarium,WLINGLING,4.3,https://play.google.com/store/apps/details?id=com.GSTUDIO.pokeaquarium,https://lh3.googleusercontent.com/u7WaWMf3Glw8xrXnbYHEjEIkZiZyBOXK3MoxBNaiwWYAkpdy_NUZwBEjrPPZqxQkHw=s128-rw,https://play.google.com/store/apps/developer?id=WLINGLING,Simulation,"['Fish Raising - My Aquarium', 'FishIsland: Fishing Paradise', 'Fishing Cube', '我的人生大冒險', 'Pocket Aquarium “Pockerium""']","- There's nothing more relaxing than feeding your fishy friends in the aquarium and watching them grow… until dreaded creatures show up to feed on them! Good thing you've got a laser gun to fend off the frightening brutes. - Collect the coins that your aquatic friends drop to buy better food, new   species of fish and bad guy-busting weapons. - Then stock your virtual tank with fish to create your own personal aquarium!-This is a cartoony puzzle game centred around a brightly-coloured crazy aquarium, a pocket   and insane aquarium!-This aqurium is  a PLAYABLE Game! And Just Tap aquarium!",476,15
