name,developer,star,url,img_url,developer_url,type,recommend_ls,describe,comment_num,comment_get_num
天堂M,Gamania Digital Entertainment,3.1,https://play.google.com/store/apps/details?id=com.gamania.lineagem,https://lh3.googleusercontent.com/a3nfqoC-ID-TGN_jk4HMcxTIrkJSoQzCVyUjFre2rVDSuFpj6tIauDt1aKUJsjRmNls=s128-rw,https://play.google.com/store/apps/developer?id=Gamania+Digital+Entertainment,Role Playing,"['叫我官老爺 - 原創宮廷模擬當官手遊', '奇蹟MU：最強者', '一劍傾心-傾心相遇，心動情迷', '日理萬姬 - 官場美人 非你莫鼠', '戰靈M']",【與Google Play一起歡慶2018春節】【遊戲簡介】   無論是盟主號召攻城時的熱血團結感、玩家相互PK的緊張刺激感或是團體組隊YY打寶的練功體驗，《天堂M》將帶您回味眾多經典回憶。    《天堂M》除了視覺效果的優化外更加入了革命性的專屬手遊操作介面，讓玩家能夠輕鬆的操控角色，自由自在地在《天堂M》的世界中展開新世代的冒險。    亞丁勇士們，就讓我們再次背負起血的盟約，挑戰《天堂M》中的最強傳說!!【遊戲特色】※ 延續經典熱血感動 ※  《天堂M》原汁原味延續經典熱血感動，   你將能隨時隨地在熟悉的亞丁大陸中進行冒險，   亞丁勇士們，難以忘懷的當年榮耀回憶，《天堂M》將延續屬於你的冒險。※ 手遊版本重新詮釋你的天堂記憶※▶ 操作介面革命性優化 ◀簡易、輕鬆、自由的操作模式，跨時代手遊操作模式，卻不減當年冒險樂趣。▶ 四大經典職業 : 王族、騎士、妖精、法師 ◀王族 : 建立血盟，佔領各大城堡的領導者。騎士 : 擁有最高體力與攻擊力的戰鬥先鋒。妖精 : 俱備遠攻優勢與精靈魔力加持的古老種族。法師： 以壓倒性魔法來掃蕩敵軍的大魔法師。▶ 經典狩獵場，質量優化體驗升級 ◀更精緻的畫面、更海量的怪物，讓您重新體驗奇岩地監、伊娃王國、龍之谷等經典狩獵場。▶ 手遊專屬全新系統 超越你的遊戲期待 ◀特殊PVP系統：嘲諷對方、尋人復仇並進行強者排名。變身合成/蒐集系統：賦予角色全新的額外能力。AI自動攻擊系統：簡易上手、練功輕鬆無礙。世界首領關卡：強者獲得夢幻道具的強大挑戰，團隊合作才是致勝關鍵。試煉副本：獲取大量經驗的最速捷徑。【關注我們】※《天堂M》官方網站 : http://tw.beanfun.com/LineageM/※《天堂M》官方臉書粉絲團 : https://www.facebook.com/Gamania.Lineage.M/【溫馨提醒】※《天堂M》依中華民國遊戲軟體分級管理辦法分類為 : 輔15級。※ 本遊戲內含輕度血腥打鬥畫面。※ 本遊戲為免費使用，遊戲內另提供購買虛擬遊戲幣、物品等付費服務。※ 請注意遊戲時間，避免沉迷。,47850,10000
星城Online,網銀國際 股份有限 公司,4.4,https://play.google.com/store/apps/details?id=game.xin.hd.g,https://lh3.googleusercontent.com/a3nfqoC-ID-TGN_jk4HMcxTIrkJSoQzCVyUjFre2rVDSuFpj6tIauDt1aKUJsjRmNls=s128-rw,https://play.google.com/store/apps/dev?id=7898821361707275817,Casino,"['moLo', '星寶選蝦米', '鬥地主 神來也斗地主', '神來也撲克Poker - Big2, Sevens, Landlord, Chinese Poker', '真人牌九']",海內外萬人同時在線娛樂平台，擁有多款SLOT、撲克、骰寶、行星、捕魚等經典的遊戲種類，採用高畫質表現，公平公正公開值得信賴！聯名合作：【新世紀福音戰士】使徒襲來！EVA始動爆走！AT力場全開！捕魚機台：【鯊很大】四人同場較勁，圖鑑全開拼5星！柏青斯洛：【伊塞普洛冒險】探索金銀財寶，逆押樂趣重現！老虎機：【古盧拉叢林、荒海獵寶、經典777】單線玩法簡單易上手！聊天頻道：【自訂貼圖/語音聊天】聊天交友來互動，遊戲熱鬧不孤單！經典機台：【賓果行星】多人同桌連線較勁，加押旋轉玩法多樣！多樣樂趣：【官方彩蛋】【撲克競猜】【天天摸彩】不定時出現，點擊立刻賺遊戲幣！●本軟體依中華民國遊戲軟體分級管理辦法分類為：輔導十五歲級。●遊戲以成年人為訴求對象。●遊戲不提供「現金交易賭博」，也沒有機會贏得現金或實體獎品，僅提供使用者娛樂用途。●在社交類遊戲中的練習狀況或成就，不代表日後在「現金交易賭博」中會獲得成功。※提醒您，長時間連續進行遊戲可能影響身心健康※內建遊戲商城，須另外支付遊戲點數方能使用，遊戲點數一經購入兌換遊戲幣後無法以任何理由退換現金。※本遊戲情節涉及棋牌益智及娛樂，非現金交易賭博，使用者請勿進行非法遊戲幣交易。※本遊戲內購買上限為本公司防沉迷機制，Google Play並不參與、建立或與本機制有任何關連。,34467,8234
神魔之塔 - Tower of Saviors,Mad Head Limited,4.2,https://play.google.com/store/apps/details?id=com.madhead.tos.zh,https://lh3.googleusercontent.com/a3nfqoC-ID-TGN_jk4HMcxTIrkJSoQzCVyUjFre2rVDSuFpj6tIauDt1aKUJsjRmNls=s128-rw,https://play.google.com/store/apps/dev?id=4928009166830007773,Puzzle,"['神魔貼圖', '卡片圖鑑for神魔之塔', 'MyTosWiki - Mathematician of Tower of Saviors', '蒼天英雄誌', '三國殺繁體版']","Brand new version 19.0 “The First Human Ancestors” will debut on 20 Apr (Mon)! The story will continue to the 2nd chapter unveiling how Eldus created “Earthlings” as a combat tool in the plot. At the same time, Earthlings are trying to break free from the control of the Eldus. Besides, new character “Giselle” will be available for redemption in Arena.In ancient times, Eldus intended to exterminate the indigenous races in the realm in order to snatch the fundamental power. Therefore, they created inferior lifeforms named “Earthlings”, the origin of humans. They were born to be tools, but the Earthlings decided to overthrow this cruel fate through a revolution.Element-filled soils and enchanting circles are the required materials for Earthlings creation. To avoid their rebellion, Shamash the Eldus has implanted “fear” into their bodies. However, can fear really stop them from pursuing freedom? The answer is waiting for you to explore. Tower of Saviors is totally free! Summoners may purchase Diamonds for drawing rare cards, restoring Stamina and extending the Inventory limit, etc. Join us now to end the war once and for all!Official Facebook: https://www.facebook.com/TowerOfSaviorsOfficial Instagram: https://www.instagram.com/towerofsaviors",923603,9960
Fate/Grand Order,Komoe,3.1,https://play.google.com/store/apps/details?id=com.xiaomeng.fategrandorder,https://lh3.googleusercontent.com/Wg7bpz2QBuB2XZyYsBkLT-yIvP8XXbOtX9wyIgg2QlRQXBXbcSJb_pZWALRA7W0L1w=s128-rw,https://play.google.com/store/apps/developer?id=Komoe,Card,"['雀姬（日本麻雀）', '命運的反抗者', 'Astral Stairways International', 'ICEY', 'Terra Battle']",2017年，「近未來觀測透鏡·示巴」所觀測到的未來領域毫無前兆地消失。根據計算發現--不，是證明了人類將於2018年滅絕。為什麼？怎麼會？是誰？做了什麼？面對眾多疑問，「人理延續保障機構·迦勒底」的研究者們陷入了疑惑就在此時，示巴觀測到了新的異變。公元2004年，在日本的某個地方都市。在這裡，出現了從未出現過的「無法觀測的領域」。迦勒底將這裡假定為人類滅絕原因，決定執行尚為試驗階段的第六實驗。那就是回到過去的時間旅行。將術者靈子化送往過去，通過介入事象，尋找出時空的特異點，查明真相或予以破壞的禁斷儀式。其名為聖杯探索——冠位指定（Grand Order）這是為了保護人類，與歷史對抗，和命運作戰之存在的總稱。【100萬字史詩描繪，史上最大聖杯戰爭啟動！】《FGO》劇情原案由Fate之父奈須蘑菇親自執筆，長達100萬字的小說級故事劇情，多重背景設定，將帶您進入無際想像的全新世界！ 【fate系列全英靈集結，跨越時代的終極召喚！】在《FGO》中可召喚的從者，包含了《Fate/Zero》、《Fate/stay night》等多部知名Fate作品中的經典角色，以及首次於《FGO》現身的英靈，都將與您締結盟約，共同投入這場浩大的聖杯戰爭！遊戲中更有Shielder、Ruler等職階於《FGO》中首次登場亮相！【卡牌式指令戰鬥，原汁原味的日式RPG！】《FGO》忠於日本正統RPG的玩法，通過對從者下達的命令，用指令卡來表現，並通過回合制的形式展開戰鬥。玩家將能再次欣賞各項寶具發動的經典畫面，回味fate系列的感動。【超豪華畫師繪製團隊，多達40位聲優陣容共同參演！】《FGO》力邀武內崇在內的50餘位知名畫師組成超豪華美術團隊，更特邀Fate系列原班聲優參與配音！淺川悠 阿部彬名 稻田徹 植田佳奈 江川央生 遠藤綾 大久保瑠美大塚明夫 大原さやか 置鮎龍太郎 小倉唯 川澄綾子 神奈延年子安武人 西前忠久 齋藤千和 坂本真綾 櫻井孝宏 澤城みゆき下屋則子 島崎信長 鈴村健一 諏訪部順一 関智一 高乃麗田中敦子 田中理恵 種田梨沙 丹下櫻 鶴岡聰 寺島拓篤 鳥海浩輔中井和哉 中村悠一 浪川大輔 能登麻美子 野中藍 早見沙織三木眞一郎 水島大宙 緑川光 宮野真守 安井邦彥 遊佐浩二(按日語50音順)【溫馨提示】※《Fate/Grand Order》依遊戲軟體分級管理辦法，分類為輔12級。※本應用遊戲情節涉及暴力。※遊戲提供免費下載和暢玩，但本遊戲部分內容及服務需另行支付費用。※為維護您的遊戲權益，請勿相信、使用他人代儲，以免觸法。※請注意遊戲時間，避免沉迷。,35144,10000
奇蹟MU：跨時代,G妹遊戲,4.4,https://play.google.com/store/apps/details?id=com.gm99.mus,https://lh3.googleusercontent.com/Wg7bpz2QBuB2XZyYsBkLT-yIvP8XXbOtX9wyIgg2QlRQXBXbcSJb_pZWALRA7W0L1w=s128-rw,https://play.google.com/store/apps/dev?id=7734083285346131529,Role Playing,"['真龍霸業', '一劍傾心-傾心相遇，心動情迷', '奇蹟MU：最強者', '叫我官老爺 - 原創宮廷模擬當官手遊', '新三國 漢室復興']",上班可練功，下班收經驗，全套神裝自己打，極品武器靠強化，每日登錄拿積分，積分商店換好康，五轉成神戰力高，戰盟再會好兄弟，萬人攻城爽爆表！這個夏天，當然要玩人氣TOP1的魔幻MMO手遊《奇蹟MU：跨時代》！【全面升級遊戲畫面】超精緻的4D畫面與建模，打造史上最強MU畫質，帶來華麗的遊戲感官和視覺享受！全面突破手遊畫質上限，讓你在滿目的流光溢彩中重溫經典！【突破職業性別鎖定】沿用劍士、魔法師與弓箭手三大經典職業，新增神秘女性角色，一改單性別職業體系，新角色將給你帶來全新的遊戲體驗！【轉職套裝保值任搭】轉職套裝搭配不再鎖定，套裝屬性可疊加保值，二轉的鞋子、三轉的防具、四轉的武器現在可以同時出現在你的身上！上萬套裝酷炫外觀，愛怎麼搭怎麼搭，你的fashion由你自己創造！【萬人同屏大型戰場】真正地突破區服限制，實現所有區服玩家同台打Boss，給予玩家燃爆爽爆的萬人戰場！Boss搶奪自由度更高，歸屬規則不再單一！小心！有人想搶你的BOSS！【佛心積分兌換體系】掛機有積分、打怪有積分、天天有積分！用積分就能兌換所有裝備！炫酷翅膀、強力技能、稀有材料……獨家積分商城等你換，不課金也能戰力滿滿！【戰盟組隊兄弟結伴】全新戰盟系統，與盟友共同戰鬥效率更高，刷怪更爽，全屏掉落，經驗與獎勵翻倍，更有獨特戰盟副本活動，快召集之前的戰友，與他們一起在新奇蹟稱霸勇者大陸！*遊戲內有拍照功能，可以將喜愛的照片保存到相冊中，因此需要各位勇士在設置中打開應用的讀/寫外部存儲權限。*本遊戲軟體分級管理辦法分類為：輔12級。*本遊戲內含輕度暴力，不當言語，性（角色穿凸顯胸、臀之服飾）及輕微恐怖畫面之情節。*本遊戲為免費使用，遊戲內另提供購買虛擬遊戲幣、物品等付費服務。*長時間進行遊戲，容易影響正常作息，宜適度休息及運動。【官方資訊】 FB粉絲頁地址： https://www.facebook.com/mus.gm99/官網地址： https://m.gm99.com/mus/,17999,2860
灌籃高手 SLAM DUNK,DeNA HONG KONG LIMITED,3.9,https://play.google.com/store/apps/details?id=com.denachina.g23002013.android,https://lh3.googleusercontent.com/Wg7bpz2QBuB2XZyYsBkLT-yIvP8XXbOtX9wyIgg2QlRQXBXbcSJb_pZWALRA7W0L1w=s128-rw,https://play.google.com/store/apps/developer?id=DeNA+HONG+KONG+LIMITED,Sports,"['三國戰神記-群雄激鬥，熱血無雙', '全明星亂鬥', '蒼天英雄誌', '雀姬（日本麻雀）', '亂鬥英雄志-名將風雲錄']",灌籃高手！熱血不滅！稱霸全國！《灌籃高手SLAMDUNK》是一款真人實時籃球競技手遊，由DeNA發行，東映動畫授權並全程監制。遊戲以井上雄彥原作漫畫、東映動畫製作的同名動畫片《灌籃高手》改編而成，玩家可操控原作出場角色，習得技能，體驗原作動畫的經典劇情和各個高校球隊的強大實力，感受競技賽事帶來的熱血與感動。學生時代耳熟能詳的「哼哼防守」、「大猩猩灌籃」、「電光火石」每位球員的絕招將被一一還原，為每位球員打造一份專屬的技能清單。．東映正版授權！經典劇情完整還原！PVE玩法將為大家呈現出十多個經典的動畫劇情章節。親身體驗一回湘北籃球新人櫻木花道的成長史，重溫那個青春洋溢的夏天。．實時多人競技！多種玩法展現你的球技！除核心的3V3半場模式外，更有1V1鬥牛、2V2組隊、3V3全場、單人5V5全場等多種比賽模式。與落單的隊友一起匹配組隊，體驗團體競技的魅力。．全國排位賽開打！與好友稱霸全國！排位賽以3V3半場作為比賽模式，3分鐘一場，與好友團隊合作，展現自我技巧，與好友共同贏得勝利，挑戰全國好手，爭奪「全服第一」稱霸全國。．角色全收錄！台日原班聲優獻聲！東映動畫正版授權，灌籃高手動畫中角色全收錄。．天才籃球高手誕生！挑戰全國贏得冠軍！遊戲中還原櫻木花道、流川楓、仙道彰、牧紳一等經典角色的經典技能，運用你的籃球智慧，擊敗來自全國的挑戰者，贏得勝利，稱霸全國。．跨服競技榮耀戰區開打！3分鐘公平競賽！跨服匹配隨時開打，一鍵加好友功能，隨時隨地與好友開賽，挑戰榮耀戰區代表你的城市出戰，爭奪成為全國最強籃球員。,4487,2668
Blade&Soul Revolution,Netmarble,4.0,https://play.google.com/store/apps/details?id=com.netmarble.bnsmasia,https://lh3.googleusercontent.com/nlO68K7rIz4AIyFGtXW6tDYoX4qx7z10TtXxgAsfIJ44xsan_gdliWb9CK25TGtYHWsb=s128-rw,https://play.google.com/store/apps/dev?id=5258410538530331508,Role Playing,"['The Seven Deadly Sins: Grand Cross', 'The King of Fighters ALLSTAR', 'Seven Knights', 'RebirthM', 'Eternal Sword M']","▣ Game Introduction ▣The Ultimate MMORPG, Play The Revolution!""Blade&Soul Revolution"" Open Now!■▶ Skill combinations that feel like a fighting game.Each class has special skills with their own combinations.Joint-Attack lets you deliver powerful blows with your teammates.Move while you use your skills.You won't be able to take your eyes off the action-packed battle.■▶ All players can join the Open Field Faction War.A strategic battle between Cerulean and CrimsonWar in a massive scale played out in real time in an open field.Join the Faction War with up to 500 players for each server!■▶ A true community MMORPG.Create your story by working together, and sometimes even fight against one another.Join a clan help out your faction as a clan!The community awaits you!■▶ A cinematic storyWatch the tale of revenge play out before your eyes, following the original story.Over 150 high-quality cinematicsYour path of vengeance against Jinsoyun, your master's murderer, begins.■▶ Windwalk across sky, land, and water!Windwalk lets you soar across the MMORPG's humongous field.Beautiful scenery with full 3D backgrounds.Experience the liberating feeling of windwalking through the open field!For the fastest news updates on Blade&Soul Revolution...◈ Visit the Official Website: https://bnsr.netmarble.com◈ Visit the Official Facebook Page: https://www.facebook.com/bnsrENG/[Reward Info and Terms of Use]*When purchasing cash items, a separate fee will be charged.*You can play smoothly on a tablet device as well.Distributor: Netmarble Corp. Representatives: Yongsik Kwon, Seungwon Lee.Terms of Use and Period: Subject to notices in the game.(If the period of use is not indicated, the period until the end of the service is considered as the period of use)-Payment Amount and Method: Follows the payment amount and payment method declared for each product.(In case of foreign currency payment, it may be different from the actual billing amount due to exchange rates and fees, etc.)-Product Distribution: Instant payment with the ID (character) purchased in the game.-Minimum specification: 3GB RAM, OS 6 or higher-Recommended device: Galaxy S7 or higher※ This app offer in-app purchases. You can disable this feature by adjusting your device’s settings.※ By downloading this game, you are agreeing to our Terms of Service and Privacy Policy.  - Terms of Service: http://help.netmarble.com/policy/terms_of_service.asp?locale=en - Privacy Policy: http://help.netmarble.com/policy/privacy_policy.asp?locale=en-Confirm / Contact Business Information: https://help.netmarble.com/game/bnsmasia",50061,3342
碧藍航線,金鳴(香港)有限公司,4.1,https://play.google.com/store/apps/details?id=com.hkmanjuu.azurlane.gp,https://lh3.googleusercontent.com/nlO68K7rIz4AIyFGtXW6tDYoX4qx7z10TtXxgAsfIJ44xsan_gdliWb9CK25TGtYHWsb=s128-rw,https://play.google.com/store/apps/developer?id=%E9%87%91%E9%B3%B4%28%E9%A6%99%E6%B8%AF%29%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,Strategy,"['命運的反抗者', '落櫻散華抄Remake', 'PanzerGirls', '諸神學院Smash', '神魔之塔 - Tower of Saviors']",【世界觀】這是壹個表面被71%的海水覆蓋著的藍色星球，人類在這片碧藍色之中出生、成長、孕育和發展屬於自己的文明。然而，伴隨著它們的，還有不斷膨脹的野心和欲望。表面風平浪靜的世界格局之下，歷史的暗流湧動。終於，未知的敵人在海洋中出現，面對敵方壓倒性的戰力，各個陣營卻仍然各自為戰，最終換來的結果亦是慘痛的：人類失去了90%以上的海域控制權，科技和生活水平急速倒退。人類對於海洋以及未知的敵人產生了深深的陰影，並且將那些將他們拖入深海黑暗之中的怪物們稱之為“塞壬”。數十年之後，各大陣營為了奪回曾經的輝煌，終於摒棄前嫌，聯合創建了第三方軍事組織“碧藍航線”，“碧藍航線”的宗旨在於：集結並共享來自世界各大陣營的科技與資源，建造出能夠與“塞壬”抗衡的新銳艦隊，奪回海域的控制權……【遊戲特色】-操作簡單、又充滿爽快感的即時海戰模擬遊戲！組成最大6人的出擊艦隊，跨越猛烈的炮火，將敵人悉數殲滅吧！被敵人的炮火擊中也無須慌張！即使不擅長動作遊戲，也可以通過自動戰鬥享受遊戲的樂趣！-組成只屬於你的特別艦隊吧！來自各大陣營的特色艦船悉數登場！超過百名性格各異、各具特色的少女們等待著你的指揮！好感度系統同步實裝，選擇喜歡的角色自由養成，培養專屬於你的艦船少女吧！-豐富的養成與收集玩法，等待你的發掘！豐富有趣的後宅互動，數百種家具隨意DIY，打造屬於你與少女們的專屬樂園！特有的圖鑑收藏系統，滿足你的收集慾！-豪華聲優陣容，享受頂級聽覺盛宴！雨宫天、茅野爱衣、佐仓绫音、上坂堇、石川由依、田中敦子、福原绫香、堀江由衣等眾多人氣聲優傾情獻聲，為你帶來最棒的聲音演出！【分級資訊】本軟體因涉及性、暴力情節，不當言語，依遊戲軟體分級管理辦法分類為輔15級。本遊戲為免費使用，遊戲內另提供購買虛擬貨幣、物品等付費服務。請注意遊戲時間，避免沉迷。,8845,2840
KartRider Rush+,NEXON Company,3.7,https://play.google.com/store/apps/details?id=com.nexon.kart,https://lh3.googleusercontent.com/nlO68K7rIz4AIyFGtXW6tDYoX4qx7z10TtXxgAsfIJ44xsan_gdliWb9CK25TGtYHWsb=s128-rw,https://play.google.com/store/apps/dev?id=7175795338936881781,Racing,"['Darkness Rises', 'Godzilla Defense Force', 'MapleStory M - Open World MMORPG', 'Stardew Valley', 'Golf Star™']","The kart racing sensation enjoyed by over 300M players worldwide is back and better than ever with more style, more game modes, more thrill! Race with friends or just play it solo through a variety of gameplay modes. Collect and upgrade iconic characters and karts from the KartRider universe. Climb the leaderboard ranks and become the ultimate racing legend!A Heroic Tale Unfolds! The stories behind what drives the Racers are finally brought to light! Experience an immersive story mode unique to the KartRider franchise that introduces you to the various gameplay modes! Master the ModesWhether it’s chasing glory as a lone racer or rising to the top of the leaderboards as a team, it’s you who will decide your own path. Select from a variety of gameplay modes that will pave your way to victory.Speed Race: Earn licenses that unlock more challenging race tracks as you progress and rely on pure drifting skills to reach the finish lineArcade Mode: Choose from a selection of gameplay modes such as Item Race, Infini-Boost, or Lucci Runner that add an extra layer of fast-paced thrill to your racesRanked Mode: From Bronze to Living Legend, climb up the Racing Tiers and earn respect among your peers Story Mode: Join Dao and friends and help them stop the treacherous Pirate Captain Lodumani’s evil deedsTime Trial: Beat the clock and make your mark as the fastest racerDrift in StyleKart racing has never looked so good! Style your Racer in the latest outfits and accessories and go BOLD with a selection of stylish and iconic Karts. Adorn your ride with trendy decals and pets that will earn you prestige on the tracks.Become a Racing LegendTake the wheel and show your rivals what true speed is all about though competitive multiplayer matches in real-time. Leverage the drifting controls optimized for mobile, time your Nitro boosts to make for the perfect drift, and leave your opponents in the dust!Go Faster TogetherJoin forces with players from around the world and complete quests together as a Club. Show off your latest kart through your own private customizable Home or cool off from a hard-earned match with fun, quick mini-games.Race Tracks on Another LevelAccelerate to the finish line through over 45+ race tracks! Whether you’re taking a tour through the bustling traffic in London Nights, or enduring the biting chill of the ice in Shark’s Tomb, every track has their own distinctive traits that offer a different racing experience for players looking for a challenge.Follow Us:Official Site: https://kartrush.nexon.comFacebook: https://www.facebook.com/kartriderrushplusTwitter: https://twitter.com/KRRushPlusInstagram: https://www.instagram.com/kartriderrushplusInstagram (South East Asia): https://www.instagram.com/kartriderrushplus_seaTwitch: https://www.twitch.tv/kartriderrushplusNote: An internet connection is required to play this game.*For the best gaming experience, the following specs are recommended: AOS 4.4 or higher / Galaxy Note 3 or higher / Minimum 1GB RAM required*- Terms of Service: https://m.nexon.com/terms/304- Privacy Policy: https://m.nexon.com/terms/305 ■ Smartphone App Permissions[Smartphone App Permissions]We are requesting certain app permissions to provide the below services.[Optional App Permissions]Photo/Media/File: Saving images, uploading photos/videos.Phone: Collecting numbers for promotional texts.Camera: Taking photos or filming videos for uploading.Mic: Talking during the game.* Game can still be played if you do not grant these permissions.[How to Withdraw Permissions]▶ Android above 6.0: Settings > App > Select App > Permission List > Allow/Deny Permission▶ Android below 6.0: Upgrade the OS to deny permissions, or delete the app* The game may not initially offer individual permission settings; in this case, use the above method to adjust permissions.* This app offers in-app purchases. You can disable this feature by adjusting your device settings.",89293,5320
叫我官老爺 - 原創宮廷模擬當官手遊,CHUANG COOL ENTERTAINMENT,4.3,https://play.google.com/store/apps/details?id=com.szckhd.jwgly.azfanti,https://lh3.googleusercontent.com/VZwuIXIGUFIwk1z2IXhMaPcLqoSWfPcuK-JxXgvh_uM0Ob2qETvD9PHQ2rWEx9qiUQ=s128-rw,https://play.google.com/store/apps/developer?id=CHUANG+COOL+ENTERTAINMENT,Role Playing,"['ZOOM Cloud Meetings', 'TikTok - Make Your Day', 'Instagram', 'Cash App', 'Coin Master']",《叫我官老爺》是一款原創經營養成當官手遊，以官爺為第一視覺生動呈現，娶妻納妾、生孩養娃、冷宮休妻、家族聯盟PK、培養門客、多人社交等精彩玩法。 【紅顏失寵 冷宮休妻】即使是國色天香的美人，失寵後也可以被打入冷宮，送到浣衣房。大人你是否會憐香惜玉？【奉旨當官 前途無量】新官上位，初入官場是做個安靜低調的芝麻小官，還是坐享天下美人的一品攝政王？你自己看著辦~【官升極品 掌控大權】衙門審訊犯人威震四方，府宅寵倖妻妾逍遙自在，多角度逼真模仿出當官的奢華生活。在視、聽、玩全方位，把玩家從現實世界拉回古色古香的清廷世界。	【美人在懷 雨露均沾】在官場無敵是多麼寂寞，好在有超多紅顏小姐姐與你相伴！柳葉眉，杏核眼，櫻桃小口，楊柳細腰賽筆管，說話燕語鶯聲，各種各樣的古典美人皆可迎娶寵倖，官爺你可要把持住哦~【結為親家 自由聊天】培養孩子考狀元，取得不世之功名。在世界頻道為兒女提親招親，聯姻成為親家後，就可以在遊戲中暢快地交流。遊戲特色：通商系統，全球海外貿易，探索無盡秘寶，海量財富等你來。官品系統，從芝麻小官到朝中重臣，讓你感受極致升官樂趣。門客系統，數十位朝中赫赫有名之士悉數登場。跨服系統，跨服衙門火爆開啟，與全服玩家爭霸不休。妻妾系統，燕瘦環肥各色美人任君選擇。任務系統，多樣的任務系統，讓你的升官之路永不枯燥。聯盟系統，多人互動一起打天下，聯盟團戰誰與爭鋒！Facebook聯繫：叫我官老爺 郵箱聯繫：kefu1@szckhd.com商務合作郵箱：riona@szckhd.com本軟體因涉及暴力情節，依遊戲軟體分級管理辦法分類為輔12級。本遊戲為免費使用，遊戲內另提供購買虛擬遊戲幣、物品等付費服務。請注意遊戲時間，避免沉迷。。,43714,9960
